contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,options_type,mid,expiration_date,days_to_expiration,T,spot_price,r,div_yld,rel_spread,forward_price,log_moneyness,tot_variance
SPY260210C00697000,2026-02-03 20:10:23+00:00,697.0,1.79,1.73,1.74,-2.31,-56.341465,2281.0,677.0,0.11756253540039063,False,REGULAR,USD,call,1.7349999999999999,2026-02-10,7,0.019178082191780823,688.6099853515625,0.03,1.07,0.005763688760806922,675.0115799899535,0.032055564494476906,0.00026505930988596357
SPY260210C00698000,2026-02-03 20:15:31+00:00,698.0,1.46,1.44,1.45,-2.17,-59.779613,1601.0,648.0,0.1155483953857422,False,REGULAR,USD,call,1.4449999999999998,2026-02-10,7,0.019178082191780823,688.6099853515625,0.03,1.07,0.006920415224913502,675.0115799899535,0.03348925649632549,0.0002560548540644895
SPY260210C00699000,2026-02-03 20:09:46+00:00,699.0,1.19,1.21,1.22,-1.99,-62.578613,1683.0,352.0,0.11451080810546876,False,REGULAR,USD,call,1.2149999999999999,2026-02-10,7,0.019178082191780823,688.6099853515625,0.03,1.07,0.008230452674897127,675.0115799899535,0.03492089596776327,0.00025147692112540397
SPY260210C00700000,2026-02-03 20:15:43+00:00,700.0,0.94,0.95,0.96,-1.8199999,-65.94203,3313.0,926.0,0.11115390808105467,False,REGULAR,USD,call,0.955,2026-02-10,7,0.019178082191780823,688.6099853515625,0.03,1.07,0.010471204188481685,675.0115799899535,0.036350488777357685,0.00023694887389545444
SPY260210C00701000,2026-02-03 20:11:19+00:00,701.0,0.76,0.75,0.76,-1.6099999,-67.93249,1318.0,544.0,0.10883459533691406,False,REGULAR,USD,call,0.755,2026-02-10,7,0.019178082191780823,688.6099853515625,0.03,1.07,0.013245033112582794,675.0115799899535,0.037778040768543096,0.00022716379176725712
SPY260210C00702000,2026-02-03 20:09:45+00:00,702.0,0.58,0.58,0.6,-1.27,-68.64865,1529.0,1716.0,0.10700355895996094,False,REGULAR,USD,call,0.59,2026-02-10,7,0.019178082191780823,688.6099853515625,0.03,1.07,0.0338983050847458,675.0115799899535,0.03920355775976412,0.0002195844696183147
SPY260210C00703000,2026-02-03 20:00:53+00:00,703.0,0.46,0.46,0.47,-1.02,-68.918915,2415.0,1341.0,0.10541666076660156,False,REGULAR,USD,call,0.46499999999999997,2026-02-10,7,0.019178082191780823,688.6099853515625,0.03,1.07,0.021505376344085923,675.0115799899535,0.0406270455446179,0.00021311974402812403
SPY260210C00704000,2026-02-03 20:14:20+00:00,704.0,0.34,0.34,0.35,-0.88,-72.13115,3013.0,750.0,0.10303631347656249,False,REGULAR,USD,call,0.345,2026-02-10,7,0.019178082191780823,688.6099853515625,0.03,1.07,0.02898550724637668,675.0115799899535,0.04204850989199539,0.0002036037623668032
SPY260210C00705000,2026-02-03 20:07:18+00:00,705.0,0.25,0.25,0.26,-0.77,-75.4902,2719.0,1829.0,0.1010832080078125,False,REGULAR,USD,call,0.255,2026-02-10,7,0.019178082191780823,688.6099853515625,0.03,1.07,0.03921568627450984,675.0115799899535,0.04346795654622164,0.00019595809476179402
SPY260210C00706000,2026-02-03 20:01:27+00:00,706.0,0.17,0.17,0.18,-0.55,-76.388885,573.0,1147.0,0.09827561889648437,False,REGULAR,USD,call,0.175,2026-02-10,7,0.019178082191780823,688.6099853515625,0.03,1.07,0.05714285714285704,675.0115799899535,0.044885391227195065,0.0001852237832504363
SPY260210C00707000,2026-02-03 19:43:46+00:00,707.0,0.16,0.12,0.13,-0.41,-71.929825,500.0,1614.0,0.09668872070312501,False,REGULAR,USD,call,0.125,2026-02-10,7,0.019178082191780823,688.6099853515625,0.03,1.07,0.08000000000000007,675.0115799899535,0.046300819630525736,0.00017929030405054359
SPY260210C00708000,2026-02-03 19:59:55+00:00,708.0,0.09,0.09,0.1,-0.28,-75.675674,860.0,809.0,0.09668872070312501,False,REGULAR,USD,call,0.095,2026-02-10,7,0.019178082191780823,688.6099853515625,0.03,1.07,0.10526315789473693,675.0115799899535,0.04771424742767274,0.00017929030405054359
SPY260210C00709000,2026-02-03 20:02:58+00:00,709.0,0.06,0.06,0.07,-0.24000001,-80.0,621.0,552.0,0.09522389160156251,False,REGULAR,USD,call,0.065,2026-02-10,7,0.019178082191780823,688.6099853515625,0.03,1.07,0.15384615384615397,675.0115799899535,0.049125680266080475,0.00017389897732115862
SPY260210P00600000,2026-02-03 17:29:38+00:00,600.0,0.05,0.05,0.06,0.010000002,25.000004,46.0,109.0,0.36524072265625,False,REGULAR,USD,put,0.055,2026-02-10,7,0.019178082191780823,688.6099853515625,0.03,1.07,0.18181818181818174,675.0115799899535,-0.11780019104990065,0.0025583712285074476
SPY260210P00605000,2026-02-03 16:26:15+00:00,605.0,0.04,0.05,0.06,-0.04,-50.0,145.0,19.0,0.34570966796874997,False,REGULAR,USD,put,0.055,2026-02-10,7,0.019178082191780823,688.6099853515625,0.03,1.07,0.18181818181818174,675.0115799899535,-0.10950138823520558,0.0022920718402450507
SPY260210P00610000,2026-02-03 19:15:00+00:00,610.0,0.09,0.06,0.07,0.050000004,125.000015,12.0,415.0,0.3320379296875,False,REGULAR,USD,put,0.065,2026-02-10,7,0.019178082191780823,688.6099853515625,0.03,1.07,0.15384615384615397,675.0115799899535,-0.10127088909869014,0.0021143679650907628
SPY260210P00615000,2026-02-03 18:52:15+00:00,615.0,0.1,0.07,0.08,0.040000003,66.66668,5.0,73.0,0.31641308593749995,False,REGULAR,USD,put,0.07500000000000001,2026-02-10,7,0.019178082191780823,688.6099853515625,0.03,1.07,0.13333333333333325,675.0115799899535,-0.09310757845952922,0.0019200566758012115
SPY260210P00620000,2026-02-03 20:09:43+00:00,620.0,0.09,0.08,0.09,0.010000005,9.090914,25.0,144.0,0.3007882421875,False,REGULAR,USD,put,0.08499999999999999,2026-02-10,7,0.019178082191780823,688.6099853515625,0.03,1.07,0.11764705882352937,675.0115799899535,-0.08501036822690976,0.0017351094971718441
SPY260210P00625000,2026-02-03 18:41:35+00:00,625.0,0.14,0.1,0.11,0.07,100.0,43.0,332.0,0.2880930566406249,False,REGULAR,USD,put,0.10500000000000001,2026-02-10,7,0.019178082191780823,688.6099853515625,0.03,1.07,0.09523809523809518,675.0115799899535,-0.07697819652964552,0.0015917349725801868
SPY260210P00630000,2026-02-03 19:08:02+00:00,630.0,0.25,0.12,0.13,0.18,257.14288,328.0,845.0,0.27295648925781246,False,REGULAR,USD,put,0.125,2026-02-10,7,0.019178082191780823,688.6099853515625,0.03,1.07,0.08000000000000007,675.0115799899535,-0.06901002688046867,0.0014288677128648003
